eGrid Subregion
AKGD (ASCC Alaska Grid)
AKMS (ASCC Miscellaneous)
AZNM (WECC Southwest)
CAMX (WECC California)
ERCT (ERCOT All)
FRCC (FRCC All)
HIMS (HICC Miscellaneous
HIOA (HICC Oahu)
MROE (MRO East)
MROW (MRO West)
NEWE (NPCC New England)
NWPP (WECC Northwest)
NYCW (NPCC NYC/Westchester)
NYLI (NPCC Long Island)
NYUP (NPCC Upstate NY)
PRMS (Puerto Rico Miscellaneous)
RFCE (RFC East)
RFCM (RFC Michigan)
RFCW (RFC West)
RMPA (WECC Rockies)
SPNO (SPP North)
SPSO (SPP South)
SRMV (SERC Mississippi Valley)
SRMW (SERC Midwest)
SRSO (SERC South)
SRTV (SERC Tennessee Valley)
SRVC (SERC Virginia/Carolina)
