Waste Material, Disposal Method, Units
Aluminum Cans, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Aluminum Ingot, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Steel Cans, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Copper Wire, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Glass, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
HDPE, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
LDPE, "Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
PET, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
LLDPE, "Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
PP, "Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
PS, "Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
PVC, "Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
PLA, "Landfilled, Combusted, Composted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Corrugated Containers, "Recycled, Landfilled, Combusted",  "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Magazines and Third Class Mail, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Newspaper, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Office Paper, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Phonebooks, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Textbooks, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Dimensional Lumber, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Medium Density Fiberboard, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Food Waste Non Meat, "Landfilled, Combusted, Composted, Anaerobically Digested (Dry Digestate with Curing), Anaerobically Digested (Wet Digestate with Curing)", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Food Waste Meat Only, "Landfilled, Combusted, Anaerobically Digested (Dry Digestate with Curing), Anaerobically Digested (Wet Digestate with Curing)", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Beef, "Landfilled, Combusted, Composted, Anaerobically Digested (Dry Digestate with Curing), Anaerobically Digested (Wet Digestate with Curing)", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Poultry, "Landfilled, Combusted, Composted, Anaerobically Digested (Dry Digestate with Curing), Anaerobically Digested (Wet Digestate with Curing)", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Grains, "Landfilled, Combusted, Composted, Anaerobically Digested (Dry Digestate with Curing), Anaerobically Digested (Wet Digestate with Curing)", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Bread, "Landfilled, Combusted, Composted, Anaerobically Digested (Dry Digestate with Curing), Anaerobically Digested (Wet Digestate with Curing)", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Fruits and Vegetables, "Landfilled, Combusted, Composted, Anaerobically Digested (Dry Digestate with Curing), Anaerobically Digested (Wet Digestate with Curing)", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Dairy Products, "Landfilled, Combusted, Composted, Anaerobically Digested (Dry Digestate with Curing), Anaerobically Digested (Wet Digestate with Curing)", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Yard Trimmings, "Landfilled, Combusted, Composted, Anaerobically Digested (Dry Digestate with Curing)", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Grass, "Landfilled, Combusted, Composted, Anaerobically Digested (Dry Digestate with Curing)", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Leaves, "Landfilled, Combusted, Composted, Anaerobically Digested (Dry Digestate with Curing)", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Branches, "Landfilled, Combusted, Composted, Anaerobically Digested (Dry Digestate with Curing)", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
Mixed Paper General, "Recycled, Landfilled, Combusted", "Gram (g), Kilogram (kg), Metric Ton, Pounds (lb), Short Ton"
