Vehicle Type,Fuel Type
Passenger Cars,"Gasoline, Diesel"
Light-Duty Trucks,"Gasoline, Diesel, Methanol, Ethanol, CNG, LPG, LNG, Biodiesel"
Heavy-Duty Vehicles,"Gasoline"
Motorcycles,"Gasoline"
Medium and Heavy-Duty Vehicles,"Diesel"
Light-Duty Cars,"Methanol, Ethanol, CNG, LPG, Biodiesel"
Medium-Duty Trucks,"CNG, LPG, LNG, Biodiesel"
Heavy-Duty Trucks,"Methanol, Ethanol, CNG, LPG, LNG, Biodiesel"
Buses,"Methanol, Ethanol, CNG, LPG, LNG, Biodiesel"
Ships and Boats,"Residual Fuel Oil, Gasoline (2 stroke), Gasoline (4 stroke), Diesel"
Locomotives,"Diesel"
Aircraft,"Jet Fuel, Aviation Gasoline"
Agricultural Equipment,"Gasoline (2 stroke), Gasoline (4 stroke), Diesel, LPG"
Agricultural Offroad Trucks,"Gasoline, Diesel"
Construction/Mining Equipment,"Gasoline (2 stroke), Gasoline (4 stroke), Diesel, LPG"
Construction/Mining Offroad Trucks,"Gasoline, Diesel"
Lawn and Garden Equipment,"Gasoline (2 stroke), Gasoline (4 stroke), Diesel, LPG"
Airport Equipment,"Gasoline, Diesel, LPG"
Industrial/Commercial Equipment,"Gasoline (2 stroke), Gasoline (4 stroke), Diesel, LPG"
Logging Equipment,"Gasoline (2 stroke), Gasoline (4 stroke), Diesel"
Railroad Equipment,"Gasoline, Diesel, LPG"
Recreational Equipment,"Gasoline (2 stroke), Gasoline (4 stroke), Diesel, LPG"
