Component, Chemical Formula
Carbon Monoxide, CO
Carbon Dioxide, :math:`\text{CO}_2`
Methane, :math:`\text{CH}_4`
Acetylene, :math:`\text{C}_2{H}_2`
Ethylene, :math:`\text{C}_2{H}_4`
Ethane, :math:`\text{C}_2{H}_6`
Propylene, :math:`\text{C}_3{H}_6`
Propane, :math:`\text{C}_3{H}_8`
n-Butane, :math:`\text{C}_4{H}_10`
Benzene, :math:`\text{C}_6{H}_6`
Hexane, :math:`\text{C}_6{H}_14`
Toluene, :math:`\text{C}_7{H}_8`
Octane, :math:`\text{C}_8{H}_18`
Ethanol, :math:`\text{C}_2{H}_5{OH}`
Acetone, :math:`\text{CH}_3{COCH}_3`
Tetrahydrofuran, :math:`\text{C}_4{H}_8{O}`
Other non-carbon,
